UserID,Achronim,Biography,Chassidus,Children's,Cookbooks,English Halacha,Eng. Mussar & Machshava,English Tanach,Gemara,Haggada,Hebrew Halacha,Heb. Mussar & Machshava,Hebrew Tanach,History,Judaica,Midrashim,Mishna,Music,Novels,Reference,Rishonim,Scholarly Works,Shailot u'Teshuvot,Siddurim,Tefillah,Yeshiva University
98,,,,,,,,,,1,,,,,,,,,,,,,,,,
99,,,,,,,1,,,,,1,,,,,,,,,,,,,,
100,,,,,,,1,,,,,1,,,,,,,,,,,,,,
101,,,,,,2,,1,,,,,,,,,,,,,,2,,,,
102,,,,,,,3,5,,,,,,,,,,,,,,,,,,
103,,,,,1,,,,,1,1,,1,,,,,,,1,,,,,,
104,,,,,,,,,,,,1,,,,,,,,,,,,,,
105,5,,,,,,,,,,2,,2,,,,,,,,2,,,1,,
106,,,,,,,,,,,,1,,,,,,,,,,,,,,
107,,,,,,,5,1,,,,,,1,,,,,,,,,,,,1
108,,,,,,,,,,,,1,,,,,,,,,,,,,,
109,,,,,,,,1,,,,,,,,,,,,,,1,,,,
110,,,,,,,,,,,,,,1,,,,,,,,1,,,,
111,,,,,,4,4,,,,,1,,,,,,,,,,,,,,1
112,,,,,,,,,,,,,1,,,,,,,,,,,,,
113,,,,,,1,,,,,1,,,,,,,,,,,1,,,,
114,,,,,,,2,1,2,,,,,,,,,,,,,,,,,
115,2,,,,,,3,2,,,,2,,1,,,,,,,,,,,,
116,,,,,,3,,2,,,,,,2,,,,,,,,,,,,
117,,,2,,,4,,,,,,,,,,,,,,,,,,1,,1
118,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,1,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,5
122,,,1,,,,2,,,,,,,,,,"1, 2",,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,4
124,,,,,,,,,2,,,4,,,,,,,,,,,,,,
125,,,,,,1,,2,,,,,,,,,,,,,,,,,,
126,,,,,,,,,1,,,,,,,,,,,,,,,,,
127,,,,,,,,2,,,,,,,,,5,,,,,,,,,
128,,,,,,,,,1,,,,,,,,,,,,,,,,,
129,,,1,,,,,,,,,,,,,,,,,,,,,,,
130,1,,,,,1,,,,,1,,,,,,,,,,,,,2,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,1,,,,,,,,,,,,,
133,,,,,,,,2,3,,,,,,,,,,,,,,,,1,2
134,,,,,,1,,,,,2,,1,,,,,,,,,,,,,
135,,,,,,,,,,,1,,,,,,,,,,,,,,,
136,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,1
137,,,1,,,,,1,,,,,,1,,,,,,,,,,,,
138,,,,,,,1,,,,,,,,,,,,,,,,,,,
139,,,,2,,,,,,,3,,1,,,,,,,,,,,,,
140,,1,,2,1,,,,,,,,5,,,,5,,,,,1,,1,,1
141,,,,5,,,,,5,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,1,,,,
143,,,,,,,2,5,,,,,1,,,,,,,,,1,,,,2
144,,,,,,,,1,,,,,,,,,,,,,,,,,,
145,,,,,,,2,,,,,,,,,,,,,,,,,1,,
146,,,,,2,1,1,2,,,,,,,,,,,,,,,,2,,
147,,,,,,1,1,,,,,,5,,,,,,,,,,,,,1
148,,,,,,,,,,,,,,,,,,,,,,1,,,,
149,,,,,,,,2,,1,,,,,,,,,,,,,,,,
150,,,,2,,,,,,,1,,,,,,,,,,1,,1,,,
